﻿Code;Locatie;Datum;Uur5Minuten;Ordening;Totaal;Tegenrichting;Hoofdrichting
COU;Coupure-Links;2021-03-01;7:45:00;2021-03-01T07:45:00+01:00;76;55;21
COU;Coupure-Links;2021-03-01;7:50:00;2021-03-01T07:50:00+01:00;63;37;26
COU;Coupure-Links;2021-03-01;7:55:00;2021-03-01T07:55:00+01:00;86;63;23
COU;Coupure-Links;2021-03-01;8:00:00;2021-03-01T08:00:00+01:00;92;72;20
COU;Coupure-Links;2021-03-01;8:05:00;2021-03-01T08:05:00+01:00;161;121;40
COU;Coupure-Links;2021-03-01;8:10:00;2021-03-01T08:10:00+01:00;112;73;39
COU;Coupure-Links;2021-03-01;8:15:00;2021-03-01T08:15:00+01:00;92;60;32
COU;Coupure-Links;2021-03-01;8:20:00;2021-03-01T08:20:00+01:00;74;44;30
COU;Coupure-Links;2021-03-01;8:25:00;2021-03-01T08:25:00+01:00;79;50;29
COU;Coupure-Links;2021-03-01;8:30:00;2021-03-01T08:30:00+01:00;54;35;19
COU;Coupure-Links;2021-03-01;8:35:00;2021-03-01T08:35:00+01:00;57;39;18
COU;Coupure-Links;2021-03-01;8:40:00;2021-03-01T08:40:00+01:00;56;37;19
COU;Coupure-Links;2021-03-01;8:45:00;2021-03-01T08:45:00+01:00;49;32;17
COU;Coupure-Links;2021-03-01;8:50:00;2021-03-01T08:50:00+01:00;47;27;20
COU;Coupure-Links;2021-03-01;8:55:00;2021-03-01T08:55:00+01:00;39;26;13
COU;Coupure-Links;2021-03-01;9:00:00;2021-03-01T09:00:00+01:00;33;19;14
COU;Coupure-Links;2021-03-01;9:05:00;2021-03-01T09:05:00+01:00;31;19;12
COU;Coupure-Links;2021-03-01;9:10:00;2021-03-01T09:10:00+01:00;30;18;12
COU;Coupure-Links;2021-03-01;9:15:00;2021-03-01T09:15:00+01:00;22;13;9
COU;Coupure-Links;2021-03-01;9:20:00;2021-03-01T09:20:00+01:00;26;14;12
COU;Coupure-Links;2021-03-01;9:25:00;2021-03-01T09:25:00+01:00;28;22;6
COU;Coupure-Links;2021-03-01;9:30:00;2021-03-01T09:30:00+01:00;19;12;7
COU;Coupure-Links;2021-03-01;9:35:00;2021-03-01T09:35:00+01:00;23;10;13
COU;Coupure-Links;2021-03-01;9:40:00;2021-03-01T09:40:00+01:00;19;7;12
COU;Coupure-Links;2021-03-01;9:45:00;2021-03-01T09:45:00+01:00;34;26;8
COU;Coupure-Links;2021-03-01;9:50:00;2021-03-01T09:50:00+01:00;20;8;12
COU;Coupure-Links;2021-03-01;9:55:00;2021-03-01T09:55:00+01:00;32;17;15
COU;Coupure-Links;2021-03-01;10:00:00;2021-03-01T10:00:00+01:00;27;17;10
COU;Coupure-Links;2021-03-01;10:05:00;2021-03-01T10:05:00+01:00;14;6;8
COU;Coupure-Links;2021-03-01;10:10:00;2021-03-01T10:10:00+01:00;21;8;13
COU;Coupure-Links;2021-03-01;10:15:00;2021-03-01T10:15:00+01:00;25;15;10
COU;Coupure-Links;2021-03-01;10:20:00;2021-03-01T10:20:00+01:00;22;13;9
COU;Coupure-Links;2021-03-01;10:25:00;2021-03-01T10:25:00+01:00;12;6;6
COU;Coupure-Links;2021-03-01;10:30:00;2021-03-01T10:30:00+01:00;17;7;10
COU;Coupure-Links;2021-03-01;10:35:00;2021-03-01T10:35:00+01:00;13;8;5
COU;Coupure-Links;2021-03-01;10:40:00;2021-03-01T10:40:00+01:00;23;11;12
COU;Coupure-Links;2021-03-01;10:45:00;2021-03-01T10:45:00+01:00;34;20;14
COU;Coupure-Links;2021-03-01;10:50:00;2021-03-01T10:50:00+01:00;19;9;10
COU;Coupure-Links;2021-03-01;10:55:00;2021-03-01T10:55:00+01:00;16;10;6
COU;Coupure-Links;2021-03-01;11:00:00;2021-03-01T11:00:00+01:00;18;11;7
COU;Coupure-Links;2021-03-01;11:05:00;2021-03-01T11:05:00+01:00;20;7;13
COU;Coupure-Links;2021-03-01;11:10:00;2021-03-01T11:10:00+01:00;19;9;10
